"Date","Time","CustomerID","CardID","GasStationID","ProductID","Amount","Price"
"2012-01-01","00:18:00","41113","645177","363","2","93.75000000","2038.57500000"
"2012-01-01","02:05:00","30766","496967","1083","2","132.10000000","3002.69200000"
"2012-01-01","00:27:00","31576","618868","109","5","21.35000000","462.92400000"
"2012-01-01","06:56:00","3800","598481","5298","322","52.50000000","47.02390000"
"2012-01-01","05:46:00","3493","34405","5163","317","70.00000000","61.83100000"
"2012-01-01","05:46:00","3493","34405","5163","336","0.86000000","11.91900000"
"2012-01-01","06:46:00","4292","40139","4600","327","66.25000000","64.64150000"
"2012-01-01","00:56:00","4150","553226","4938","329","93.76250000","97.84390000"
"2012-01-01","06:43:00","30940","570724","1101","2","86.33750000","1845.45900000"
"2012-01-01","05:30:00","17693","509205","3671","2","86.25000000","1907.36700000"
"2012-01-01","06:51:00","17693","467332","3671","2","65.00000000","1437.43600000"
"2012-01-01","05:18:00","44035","521370","4789","317","71.50000000","1616.69970000"
"2012-01-01","07:14:00","40508","572847","988","2","83.75000000","1795.33200000"
"2012-01-01","07:21:00","40508","572847","988","2","27.50000000","589.51200000"
"2012-01-01","07:18:00","6769","630364","405","2","231.27500000","5014.77900000"
"2012-01-01","08:06:00","17693","644590","3671","2","65.93750000","1458.14900000"
"2012-01-01","08:11:00","27076","255124","3804","2","35.87500000","771.23200000"
"2012-01-01","08:13:00","9606","579038","4356","2","100.00000000","2236.08000000"
"2012-01-01","08:14:00","43152","457402","3498","2","50.15000000","1127.58800000"
"2012-01-01","07:44:00","15064","596546","2030","2","66.25000000","1424.26900000"
"2012-01-01","07:52:00","15064","596547","2030","2","83.78750000","1801.26100000"
"2012-01-01","08:17:00","15064","477546","2030","2","49.37500000","1061.52200000"
"2012-01-01","07:49:00","38706","664882","2180","5","31.25000000","683.37500000"
"2012-01-01","08:18:00","21538","460837","2180","2","59.60000000","1329.02000000"
"2012-01-01","08:24:00","18917","602951","138","5","53.35000000","1179.79400000"
"2012-01-01","08:24:00","18917","602951","138","15","0.86000000","163.03000000"
"2012-01-01","08:28:00","43735","605023","81","2","89.13750000","2026.10100000"
"2012-01-01","08:30:00","6439","408690","513","2","62.51250000","1382.45800000"
"2012-01-01","08:50:00","45741","412156","3172","5","35.81250000","770.00000000"
"2012-01-01","04:40:00","7196","450683","3333","5","50.11250000","1095.85630000"
"2012-01-01","04:40:00","7196","450683","3333","2","130.77500000","2892.00450000"
"2012-01-01","10:22:00","13334","451637","1390","5","43.75000000","913.60500000"
"2012-01-01","05:11:00","31208","590443","3772","2","39.40000000","847.03080000"
"2012-01-01","06:29:00","16202","543368","3772","2","51.25000000","1101.79300000"
"2012-01-01","10:44:00","8457","423256","3772","2","56.17500000","1207.66800000"
"2012-01-01","09:27:00","17202","524741","3924","2","50.40000000","1114.57500000"
"2012-01-01","10:45:00","24700","541586","3631","2","57.58750000","1248.70900000"
"2012-01-01","05:56:00","26177","449446","376","2","67.50000000","1476.09000000"
"2012-01-01","10:46:00","18824","403679","376","5","46.26250000","1003.15600000"
"2012-01-01","07:29:00","43570","415055","3367","5","50.00000000","1078.00000000"
"2012-01-01","08:08:00","7611","594450","621","2","31.26250000","691.34450000"
"2012-01-01","09:04:00","14398","418425","65","5","45.80000000","1035.40360000"
"2012-01-01","09:44:00","23752","531871","65","8","14.08750000","343.64330000"
"2012-01-01","10:15:00","41050","497245","65","2","70.08750000","1593.11460000"
"2012-01-01","10:42:00","42861","595095","65","2","43.97500000","999.56780000"
"2012-01-01","09:38:00","13560","539036","496","2","83.76250000","1800.72200000"
"2012-01-01","09:12:00","42496","521117","804","2","84.13750000","1886.57700000"
"2012-01-01","10:01:00","28241","431871","804","5","64.46250000","1385.84600000"
"2012-01-01","10:48:00","29203","420209","804","2","50.78750000","1107.49100000"
"2012-01-01","10:47:00","5160","633834","3634","5","54.25000000","1086.08500000"
"2012-01-01","10:34:00","24124","235662","304","5","50.05000000","1063.67800000"
"2012-01-01","10:41:00","40422","561130","128","5","55.31250000","1155.05390000"
"2012-01-01","08:41:00","33094","622297","682","2","65.00000000","1461.46000000"
"2012-01-01","10:36:00","12581","582501","674","8","58.93750000","1314.23600000"
"2012-01-01","10:32:00","8120","590830","3318","2","42.18750000","914.76000000"
"2012-01-01","05:27:00","10812","420621","2277","2","43.12500000","945.71400000"
"2012-01-01","08:18:00","19649","552833","684","2","18.75000000","414.64500000"
"2012-01-01","08:25:00","8548","443455","3085","2","81.25000000","1781.78000000"
"2012-01-01","08:36:00","47835","614287","422","9","45.50000000","1070.66960000"
"2012-01-01","09:46:00","17890","568242","422","5","65.00000000","1433.43200000"
"2012-01-01","10:30:00","12850","567803","422","5","45.75000000","1008.91560000"
"2012-01-01","05:19:00","44582","571320","112","2","88.37500000","1954.36010000"
"2012-01-01","10:54:00","30837","287608","3650","5","51.25000000","1117.65500000"
"2012-01-01","09:56:00","46175","612501","1550","2","79.16250000","1848.15400000"
"2012-01-01","09:14:00","18455","580655","3617","5","63.75000000","1386.23100000"
"2012-01-01","10:12:00","13778","462279","3617","5","56.25000000","1223.14500000"
"2012-01-01","10:27:00","36915","581837","3617","2","67.01250000","1465.42550000"
"2012-01-01","10:40:00","29648","436688","3617","2","50.01250000","1093.66950000"
"2012-01-01","05:11:00","11486","553816","485","2","50.07500000","1116.63090000"
"2012-01-01","06:12:00","5965","491234","485","2","10.86250000","242.21890000"
"2012-01-01","09:53:00","15470","564867","2367","2","150.13750000","3320.16300000"
"2012-01-01","11:12:00","25116","416122","852","5","54.17500000","1154.69200000"
"2012-01-01","08:39:00","5983","452681","3662","29","70.00000000","1504.88800000"
"2012-01-01","10:51:00","29105","593391","3662","2","43.87500000","964.88700000"
"2012-01-01","09:19:00","7105","517985","3807","2","21.06250000","460.76800000"
"2012-01-01","08:38:00","18200","396096","302","5","43.66250000","911.75700000"
"2012-01-01","10:50:00","47819","613774","3520","2","73.75000000","1644.56600000"
"2012-01-01","11:51:00","22316","436473","3520","2","12.50000000","278.74000000"
"2012-01-01","11:51:00","22316","436473","3520","15","0.86000000","135.63000000"
"2012-01-01","11:17:00","28875","583075","2985","2","68.05000000","1463.00000000"
"2012-01-01","10:39:00","44559","571562","60","5","48.26250000","1037.57500000"
"2012-01-01","11:45:00","18054","568322","60","2","53.90000000","1178.71600000"
"2012-01-01","10:12:00","28504","573388","145","2","50.06250000","1094.78600000"
"2012-01-01","12:02:00","9564","513866","145","2","38.62500000","844.69000000"
"2012-01-01","12:16:00","26960","503183","145","5","18.47500000","392.62300000"
"2012-01-01","07:27:00","40258","442921","3501","2","50.00000000","1121.12000000"
"2012-01-01","10:05:00","22752","590089","3419","5","66.25000000","1436.51200000"
"2012-01-01","11:58:00","11597","141185","2965","5","50.03750000","1075.69000000"
"2012-01-01","11:58:00","11597","141185","2965","11","0.86000000","121.93000000"
